time,best_ask_price,best_bid_price,best_ask_qty,best_bid_qty,trade_price,trade_qty
0.191,27197,27196.9,0.273,5.421,27196.9,0.02
0.192,27197,27196.9,0.273,5.421,27196.9,0.089
0.198,27197,27196.9,0.273,5.266,27196.9,0.046
0.204,27197,27196.9,0.273,5.266,27196.9,0.183
0.204,27197,27196.9,0.273,5.266,27196.9,0.45
0.204,27197,27196.9,0.273,5.266,27196.9,0.125
0.232,27197,27196.9,0.267,4.508,27197,0.006
0.24,27197.9,27197.8,0.685,2.242,27197,0.266
0.24,27197.9,27197.8,0.685,2.242,27197,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.1,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.1,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.1,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.1,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.2,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.2,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.3,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.3,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.4,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.4,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.4,0.004
0.24,27197.9,27197.8,0.685,2.242,27197.4,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.4,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.4,0.004
0.24,27197.9,27197.8,0.685,2.242,27197.5,0.029
0.24,27197.9,27197.8,0.685,2.242,27197.5,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.6,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.6,0.3
0.24,27197.9,27197.8,0.685,2.242,27197.7,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.8,0.004
0.24,27197.9,27197.8,0.685,2.242,27197.8,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.9,0.001
0.24,27197.9,27197.8,0.685,2.242,27197.9,0.01
0.24,27197.9,27197.8,0.685,2.242,27197.9,0.148
0.252,27197.9,27197.8,0.662,2.242,27197.9,0.023
0.294,27197.9,27197.8,0.662,2.142,27197.8,0.1
0.295,27197.9,27197.8,0.662,2.142,27197.8,0.099
0.303,27197.9,27197.8,0.66,2.043,27197.9,0.002
0.331,27197.9,27197.8,0.66,1.943,27197.8,0.1
0.356,27197.9,27197.8,0.66,1.931,27197.8,0.012
0.362,27197.9,27197.8,0.66,1.931,27197.9,0.002
0.362,27197.9,27197.8,0.658,1.931,27197.9,0.002
0.378,27197.9,27197.8,0.656,1.931,27197.9,0.002
0.41,27197.9,27197.8,0.656,1.921,27197.8,0.01
0.426,27197.9,27197.8,0.656,1.9,27197.8,0.021
0.43,27197.9,27197.8,0.656,1.9,27197.8,0.05
0.459,27197.9,27197.8,0.656,3.804,27197.8,0.047
0.539,27197.9,27197.8,9.399,5.916,27197.9,0.001
0.544,27197.9,27197.8,9.399,5.916,27197.9,0.022
0.566,27197.9,27197.8,9.287,5.916,27197.9,0.11
0.579,27197.9,27197.8,9.287,5.867,27197.8,0.015
0.579,27197.9,27197.8,9.287,5.867,27197.8,0.05
0.58,27197.9,27197.8,9.287,5.867,27197.9,0.001
